participant number,current block,block number,case number,first,second,chose
0,stair1_75,0,0,ours,real,
0,stair1_75,0,1,nagao,real,
0,stair1_75,0,2,nagao,ours,
0,stair1_75,0,3,nagao,seo,
0,stair1_75,0,4,real,seo,
0,stair1_75,0,5,real,nagao,
0,stair1_75,0,6,real,ours,
0,stair1_75,0,7,seo,ours,
0,stair1_75,0,8,ours,nagao,
0,stair1_75,0,9,ours,seo,
0,stair1_75,0,10,seo,nagao,
0,stair1_75,0,11,seo,real,
0,stair1_75,0,12,nagao,real,
0,stair1_75,0,13,ours,seo,
0,stair1_75,0,14,real,seo,
0,stair1_75,0,15,seo,nagao,
0,stair1_75,0,16,nagao,ours,
0,stair1_75,0,17,seo,ours,
0,stair1_75,0,18,nagao,seo,
0,stair1_75,0,19,real,ours,
0,stair1_75,0,20,ours,nagao,
0,stair1_75,0,21,ours,real,
0,stair1_75,0,22,seo,real,
0,stair1_75,0,23,real,nagao,
0,stair1_75,0,24,real,nagao,
0,stair1_75,0,25,real,seo,
0,stair1_75,0,26,seo,nagao,
0,stair1_75,0,27,ours,real,
0,stair1_75,0,28,nagao,real,
0,stair1_75,0,29,ours,nagao,
0,stair1_75,0,30,real,ours,
0,stair1_75,0,31,nagao,ours,
0,stair1_75,0,32,ours,seo,
0,stair1_75,0,33,seo,ours,
0,stair1_75,0,34,seo,real,
0,stair1_75,0,35,nagao,seo,
0,stair1_75,0,36,real,nagao,
0,stair1_75,0,37,ours,nagao,
0,stair1_75,0,38,real,seo,
0,stair1_75,0,39,nagao,seo,
0,stair1_75,0,40,ours,seo,
0,stair1_75,0,41,seo,nagao,
0,stair1_75,0,42,real,ours,
0,stair1_75,0,43,seo,ours,
0,stair1_75,0,44,nagao,real,
0,stair1_75,0,45,ours,real,
0,stair1_75,0,46,nagao,ours,
0,stair1_75,0,47,seo,real,
0,stair1_75,0,48,real,ours,
0,stair1_75,0,49,nagao,ours,
0,stair1_75,0,50,real,seo,
0,stair1_75,0,51,real,nagao,
0,stair1_75,0,52,seo,real,
0,stair1_75,0,53,ours,real,
0,stair1_75,0,54,nagao,real,
0,stair1_75,0,55,seo,nagao,
0,stair1_75,0,56,ours,nagao,
0,stair1_75,0,57,seo,ours,
0,stair1_75,0,58,ours,seo,
0,stair1_75,0,59,nagao,seo,
0,stair1_100,1,0,ours,seo,
0,stair1_100,1,1,nagao,real,
0,stair1_100,1,2,seo,real,
0,stair1_100,1,3,real,seo,
0,stair1_100,1,4,nagao,seo,
0,stair1_100,1,5,nagao,ours,
0,stair1_100,1,6,real,nagao,
0,stair1_100,1,7,seo,nagao,
0,stair1_100,1,8,real,ours,
0,stair1_100,1,9,seo,ours,
0,stair1_100,1,10,ours,nagao,
0,stair1_100,1,11,ours,real,
0,stair1_100,1,12,ours,nagao,
0,stair1_100,1,13,ours,seo,
0,stair1_100,1,14,seo,real,
0,stair1_100,1,15,real,nagao,
0,stair1_100,1,16,seo,nagao,
0,stair1_100,1,17,real,ours,
0,stair1_100,1,18,seo,ours,
0,stair1_100,1,19,ours,real,
0,stair1_100,1,20,real,seo,
0,stair1_100,1,21,nagao,ours,
0,stair1_100,1,22,nagao,seo,
0,stair1_100,1,23,nagao,real,
0,stair1_100,1,24,real,nagao,
0,stair1_100,1,25,nagao,ours,
0,stair1_100,1,26,seo,ours,
0,stair1_100,1,27,ours,real,
0,stair1_100,1,28,real,ours,
0,stair1_100,1,29,real,seo,
0,stair1_100,1,30,seo,real,
0,stair1_100,1,31,seo,nagao,
0,stair1_100,1,32,nagao,seo,
0,stair1_100,1,33,ours,seo,
0,stair1_100,1,34,ours,nagao,
0,stair1_100,1,35,nagao,real,
0,stair1_100,1,36,ours,seo,
0,stair1_100,1,37,ours,nagao,
0,stair1_100,1,38,ours,real,
0,stair1_100,1,39,real,seo,
0,stair1_100,1,40,real,ours,
0,stair1_100,1,41,nagao,real,
0,stair1_100,1,42,seo,real,
0,stair1_100,1,43,nagao,seo,
0,stair1_100,1,44,seo,nagao,
0,stair1_100,1,45,nagao,ours,
0,stair1_100,1,46,seo,ours,
0,stair1_100,1,47,real,nagao,
0,stair1_100,1,48,nagao,seo,
0,stair1_100,1,49,ours,real,
0,stair1_100,1,50,nagao,real,
0,stair1_100,1,51,real,ours,
0,stair1_100,1,52,ours,seo,
0,stair1_100,1,53,seo,nagao,
0,stair1_100,1,54,ours,nagao,
0,stair1_100,1,55,nagao,ours,
0,stair1_100,1,56,real,seo,
0,stair1_100,1,57,real,nagao,
0,stair1_100,1,58,seo,ours,
0,stair1_100,1,59,seo,real,
0,stair2_75,2,0,seo,ours,
0,stair2_75,2,1,nagao,seo,
0,stair2_75,2,2,ours,seo,
0,stair2_75,2,3,real,nagao,
0,stair2_75,2,4,seo,real,
0,stair2_75,2,5,real,seo,
0,stair2_75,2,6,nagao,real,
0,stair2_75,2,7,ours,real,
0,stair2_75,2,8,seo,nagao,
0,stair2_75,2,9,nagao,ours,
0,stair2_75,2,10,ours,nagao,
0,stair2_75,2,11,real,ours,
0,stair2_75,2,12,real,seo,
0,stair2_75,2,13,seo,ours,
0,stair2_75,2,14,ours,nagao,
0,stair2_75,2,15,seo,nagao,
0,stair2_75,2,16,ours,seo,
0,stair2_75,2,17,real,ours,
0,stair2_75,2,18,seo,real,
0,stair2_75,2,19,real,nagao,
0,stair2_75,2,20,nagao,seo,
0,stair2_75,2,21,ours,real,
0,stair2_75,2,22,nagao,real,
0,stair2_75,2,23,nagao,ours,
0,stair2_75,2,24,nagao,ours,
0,stair2_75,2,25,real,nagao,
0,stair2_75,2,26,nagao,seo,
0,stair2_75,2,27,seo,real,
0,stair2_75,2,28,nagao,real,
0,stair2_75,2,29,ours,nagao,
0,stair2_75,2,30,seo,ours,
0,stair2_75,2,31,ours,real,
0,stair2_75,2,32,ours,seo,
0,stair2_75,2,33,real,seo,
0,stair2_75,2,34,seo,nagao,
0,stair2_75,2,35,real,ours,
0,stair2_75,2,36,ours,nagao,
0,stair2_75,2,37,nagao,seo,
0,stair2_75,2,38,seo,nagao,
0,stair2_75,2,39,real,ours,
0,stair2_75,2,40,ours,real,
0,stair2_75,2,41,nagao,real,
0,stair2_75,2,42,seo,real,
0,stair2_75,2,43,real,nagao,
0,stair2_75,2,44,seo,ours,
0,stair2_75,2,45,nagao,ours,
0,stair2_75,2,46,ours,seo,
0,stair2_75,2,47,real,seo,
0,stair2_75,2,48,seo,nagao,
0,stair2_75,2,49,nagao,ours,
0,stair2_75,2,50,nagao,seo,
0,stair2_75,2,51,ours,nagao,
0,stair2_75,2,52,nagao,real,
0,stair2_75,2,53,seo,ours,
0,stair2_75,2,54,real,nagao,
0,stair2_75,2,55,ours,real,
0,stair2_75,2,56,seo,real,
0,stair2_75,2,57,real,ours,
0,stair2_75,2,58,real,seo,
0,stair2_75,2,59,ours,seo,
0,stair2_100,3,0,ours,nagao,
0,stair2_100,3,1,ours,real,
0,stair2_100,3,2,nagao,real,
0,stair2_100,3,3,real,ours,
0,stair2_100,3,4,nagao,ours,
0,stair2_100,3,5,seo,real,
0,stair2_100,3,6,ours,seo,
0,stair2_100,3,7,real,seo,
0,stair2_100,3,8,real,nagao,
0,stair2_100,3,9,seo,nagao,
0,stair2_100,3,10,seo,ours,
0,stair2_100,3,11,nagao,seo,
0,stair2_100,3,12,real,seo,
0,stair2_100,3,13,seo,nagao,
0,stair2_100,3,14,seo,ours,
0,stair2_100,3,15,ours,real,
0,stair2_100,3,16,ours,nagao,
0,stair2_100,3,17,real,nagao,
0,stair2_100,3,18,nagao,ours,
0,stair2_100,3,19,nagao,real,
0,stair2_100,3,20,real,ours,
0,stair2_100,3,21,nagao,seo,
0,stair2_100,3,22,ours,seo,
0,stair2_100,3,23,seo,real,
0,stair2_100,3,24,ours,seo,
0,stair2_100,3,25,seo,nagao,
0,stair2_100,3,26,real,ours,
0,stair2_100,3,27,real,nagao,
0,stair2_100,3,28,ours,real,
0,stair2_100,3,29,nagao,seo,
0,stair2_100,3,30,nagao,real,
0,stair2_100,3,31,nagao,ours,
0,stair2_100,3,32,seo,ours,
0,stair2_100,3,33,ours,nagao,
0,stair2_100,3,34,seo,real,
0,stair2_100,3,35,real,seo,
0,stair2_100,3,36,nagao,real,
0,stair2_100,3,37,seo,nagao,
0,stair2_100,3,38,real,ours,
0,stair2_100,3,39,ours,nagao,
0,stair2_100,3,40,nagao,ours,
0,stair2_100,3,41,ours,seo,
0,stair2_100,3,42,nagao,seo,
0,stair2_100,3,43,real,seo,
0,stair2_100,3,44,seo,ours,
0,stair2_100,3,45,ours,real,
0,stair2_100,3,46,real,nagao,
0,stair2_100,3,47,seo,real,
0,stair2_100,3,48,nagao,seo,
0,stair2_100,3,49,ours,seo,
0,stair2_100,3,50,ours,real,
0,stair2_100,3,51,real,nagao,
0,stair2_100,3,52,seo,ours,
0,stair2_100,3,53,seo,nagao,
0,stair2_100,3,54,real,seo,
0,stair2_100,3,55,real,ours,
0,stair2_100,3,56,seo,real,
0,stair2_100,3,57,nagao,real,
0,stair2_100,3,58,ours,nagao,
0,stair2_100,3,59,nagao,ours,
1,stair1_75,0,0,nagao,real,
1,stair1_75,0,1,ours,seo,
1,stair1_75,0,2,seo,real,
1,stair1_75,0,3,seo,nagao,
1,stair1_75,0,4,real,seo,
1,stair1_75,0,5,nagao,seo,
1,stair1_75,0,6,nagao,ours,
1,stair1_75,0,7,real,ours,
1,stair1_75,0,8,real,nagao,
1,stair1_75,0,9,seo,ours,
1,stair1_75,0,10,ours,real,
1,stair1_75,0,11,ours,nagao,
1,stair1_75,0,12,ours,real,
1,stair1_75,0,13,ours,nagao,
1,stair1_75,0,14,nagao,seo,
1,stair1_75,0,15,real,seo,
1,stair1_75,0,16,real,nagao,
1,stair1_75,0,17,seo,ours,
1,stair1_75,0,18,nagao,ours,
1,stair1_75,0,19,seo,real,
1,stair1_75,0,20,nagao,real,
1,stair1_75,0,21,ours,seo,
1,stair1_75,0,22,seo,nagao,
1,stair1_75,0,23,real,ours,
1,stair1_75,0,24,nagao,ours,
1,stair1_75,0,25,ours,real,
1,stair1_75,0,26,real,ours,
1,stair1_75,0,27,seo,ours,
1,stair1_75,0,28,seo,real,
1,stair1_75,0,29,real,seo,
1,stair1_75,0,30,nagao,seo,
1,stair1_75,0,31,seo,nagao,
1,stair1_75,0,32,real,nagao,
1,stair1_75,0,33,ours,nagao,
1,stair1_75,0,34,ours,seo,
1,stair1_75,0,35,nagao,real,
1,stair1_75,0,36,real,ours,
1,stair1_75,0,37,nagao,real,
1,stair1_75,0,38,ours,real,
1,stair1_75,0,39,real,seo,
1,stair1_75,0,40,ours,seo,
1,stair1_75,0,41,seo,real,
1,stair1_75,0,42,ours,nagao,
1,stair1_75,0,43,real,nagao,
1,stair1_75,0,44,seo,ours,
1,stair1_75,0,45,seo,nagao,
1,stair1_75,0,46,nagao,ours,
1,stair1_75,0,47,nagao,seo,
1,stair1_75,0,48,seo,real,
1,stair1_75,0,49,nagao,real,
1,stair1_75,0,50,ours,real,
1,stair1_75,0,51,seo,ours,
1,stair1_75,0,52,nagao,seo,
1,stair1_75,0,53,real,nagao,
1,stair1_75,0,54,real,seo,
1,stair1_75,0,55,ours,seo,
1,stair1_75,0,56,real,ours,
