participant number,current block,block number,case number,first,second,chose
1,stair2_75,3,0,seo,ours,Second
1,stair2_75,3,1,ours,real,First
1,stair2_75,3,2,nagao,seo,First
1,stair2_75,3,3,ours,nagao,First
1,stair2_75,3,4,seo,real,Second
1,stair2_75,3,5,seo,nagao,First
1,stair2_75,3,6,nagao,real,Second
1,stair2_75,3,7,real,nagao,First
1,stair2_75,3,8,real,ours,Second
1,stair2_75,3,9,real,seo,First
1,stair2_75,3,10,nagao,ours,Second
1,stair2_75,3,11,ours,seo,First
1,stair2_75,3,12,ours,nagao,First
1,stair2_75,3,13,seo,nagao,Second
1,stair2_75,3,14,seo,ours,Second
1,stair2_75,3,15,nagao,ours,Second
1,stair2_75,3,16,real,nagao,First
1,stair2_75,3,17,ours,real,First
1,stair2_75,3,18,real,seo,First
1,stair2_75,3,19,nagao,real,Second
1,stair2_75,3,20,ours,seo,First
1,stair2_75,3,21,seo,real,Second
1,stair2_75,3,22,real,ours,Second
1,stair2_75,3,23,nagao,seo,First
