participant number,current block,block number,case number,first,second,chose
1,stair2_100,2,0,ours,seo,First
1,stair2_100,2,1,ours,nagao,First
1,stair2_100,2,2,ours,real,Second
1,stair2_100,2,3,real,seo,First
1,stair2_100,2,4,real,nagao,First
1,stair2_100,2,5,real,ours,Second
1,stair2_100,2,6,seo,ours,Second
1,stair2_100,2,7,seo,nagao,Second
1,stair2_100,2,8,nagao,ours,Second
1,stair2_100,2,9,nagao,real,Second
1,stair2_100,2,10,nagao,seo,Second
1,stair2_100,2,11,seo,real,Second
1,stair2_100,2,12,ours,real,Second
1,stair2_100,2,13,real,seo,First
1,stair2_100,2,14,nagao,real,Second
1,stair2_100,2,15,real,ours,Second
1,stair2_100,2,16,nagao,ours,Second
1,stair2_100,2,17,ours,seo,First
1,stair2_100,2,18,seo,nagao,Second
1,stair2_100,2,19,real,nagao,First
1,stair2_100,2,20,ours,nagao,First
1,stair2_100,2,21,seo,ours,Second
1,stair2_100,2,22,seo,real,Second
1,stair2_100,2,23,nagao,seo,Second
