participant number,current block,block number,case number,first,second,chose
7,stair2_100,2,0,seo,ours,Second
7,stair2_100,2,1,real,seo,First
7,stair2_100,2,2,nagao,ours,Second
7,stair2_100,2,3,ours,real,First
7,stair2_100,2,4,real,nagao,First
7,stair2_100,2,5,ours,seo,Second
7,stair2_100,2,6,real,ours,Second
7,stair2_100,2,7,seo,real,Second
7,stair2_100,2,8,seo,nagao,First
7,stair2_100,2,9,nagao,seo,First
7,stair2_100,2,10,nagao,real,Second
7,stair2_100,2,11,ours,nagao,First
7,stair2_100,2,12,ours,nagao,First
7,stair2_100,2,13,ours,seo,First
7,stair2_100,2,14,seo,real,Second
7,stair2_100,2,15,ours,real,First
7,stair2_100,2,16,nagao,ours,Second
7,stair2_100,2,17,real,ours,First
7,stair2_100,2,18,seo,nagao,First
7,stair2_100,2,19,real,seo,First
7,stair2_100,2,20,seo,ours,Second
7,stair2_100,2,21,real,nagao,First
7,stair2_100,2,22,nagao,real,Second
7,stair2_100,2,23,nagao,seo,Second
