participant number,current block,block number,case number,first,second,chose
3,stair2_100,2,0,ours,seo,First
3,stair2_100,2,1,real,ours,Second
3,stair2_100,2,2,ours,nagao,First
3,stair2_100,2,3,seo,ours,Second
3,stair2_100,2,4,nagao,ours,Second
3,stair2_100,2,5,ours,real,Second
3,stair2_100,2,6,nagao,seo,Second
3,stair2_100,2,7,real,seo,First
3,stair2_100,2,8,seo,nagao,First
3,stair2_100,2,9,seo,real,Second
3,stair2_100,2,10,nagao,real,Second
3,stair2_100,2,11,real,nagao,First
3,stair2_100,2,12,nagao,ours,Second
3,stair2_100,2,13,real,ours,First
3,stair2_100,2,14,ours,real,Second
3,stair2_100,2,15,seo,ours,Second
3,stair2_100,2,16,real,seo,First
3,stair2_100,2,17,real,nagao,First
3,stair2_100,2,18,nagao,seo,Second
3,stair2_100,2,19,nagao,real,Second
3,stair2_100,2,20,ours,nagao,First
3,stair2_100,2,21,ours,seo,Second
3,stair2_100,2,22,seo,nagao,First
3,stair2_100,2,23,seo,real,Second
