participant number,current block,block number,case number,first,second,chose
4,stair2_100,1,0,nagao,ours,Second
4,stair2_100,1,1,ours,seo,First
4,stair2_100,1,2,real,seo,First
4,stair2_100,1,3,seo,ours,First
4,stair2_100,1,4,ours,nagao,First
4,stair2_100,1,5,ours,real,Second
4,stair2_100,1,6,seo,real,Second
4,stair2_100,1,7,seo,nagao,First
4,stair2_100,1,8,real,nagao,First
4,stair2_100,1,9,nagao,seo,Second
4,stair2_100,1,10,nagao,real,Second
4,stair2_100,1,11,real,ours,Second
4,stair2_100,1,12,seo,real,Second
4,stair2_100,1,13,seo,nagao,First
4,stair2_100,1,14,seo,ours,Second
4,stair2_100,1,15,nagao,real,Second
4,stair2_100,1,16,ours,real,First
4,stair2_100,1,17,real,seo,First
4,stair2_100,1,18,nagao,ours,Second
4,stair2_100,1,19,nagao,seo,Second
4,stair2_100,1,20,real,ours,First
4,stair2_100,1,21,real,nagao,First
4,stair2_100,1,22,ours,seo,First
4,stair2_100,1,23,ours,nagao,First
