participant number,current block,block number,case number,first,second,chose
2,stair2_100,3,0,nagao,real,Second
2,stair2_100,3,1,ours,real,Second
2,stair2_100,3,2,ours,nagao,First
2,stair2_100,3,3,seo,ours,Second
2,stair2_100,3,4,nagao,ours,Second
2,stair2_100,3,5,ours,seo,Second
2,stair2_100,3,6,real,seo,First
2,stair2_100,3,7,nagao,seo,Second
2,stair2_100,3,8,seo,real,Second
2,stair2_100,3,9,real,ours,First
2,stair2_100,3,10,real,nagao,First
2,stair2_100,3,11,seo,nagao,First
2,stair2_100,3,12,nagao,real,Second
2,stair2_100,3,13,nagao,ours,Second
2,stair2_100,3,14,ours,real,Second
2,stair2_100,3,15,seo,real,Second
2,stair2_100,3,16,seo,nagao,First
2,stair2_100,3,17,real,nagao,First
2,stair2_100,3,18,real,ours,First
2,stair2_100,3,19,ours,nagao,First
2,stair2_100,3,20,real,seo,First
2,stair2_100,3,21,nagao,seo,Second
2,stair2_100,3,22,seo,ours,Second
2,stair2_100,3,23,ours,seo,Second
