participant number,current block,block number,case number,first,second,chose
8,stair1_100,0,0,real,ours,First
8,stair1_100,0,1,nagao,seo,First
8,stair1_100,0,2,nagao,real,Second
8,stair1_100,0,3,seo,nagao,First
8,stair1_100,0,4,real,nagao,First
8,stair1_100,0,5,ours,nagao,Second
8,stair1_100,0,6,ours,seo,Second
8,stair1_100,0,7,real,seo,First
8,stair1_100,0,8,nagao,ours,Second
8,stair1_100,0,9,seo,real,Second
8,stair1_100,0,10,seo,ours,First
8,stair1_100,0,11,ours,real,Second
8,stair1_100,0,12,nagao,real,Second
8,stair1_100,0,13,real,ours,First
8,stair1_100,0,14,real,nagao,First
8,stair1_100,0,15,seo,real,Second
8,stair1_100,0,16,nagao,seo,Second
8,stair1_100,0,17,nagao,ours,Second
8,stair1_100,0,18,ours,real,Second
8,stair1_100,0,19,seo,nagao,First
8,stair1_100,0,20,real,seo,First
8,stair1_100,0,21,seo,ours,Second
8,stair1_100,0,22,ours,nagao,First
8,stair1_100,0,23,ours,seo,First
