participant number,current block,block number,case number,first,second,chose
7,stair1_75,1,0,nagao,real,Second
7,stair1_75,1,1,seo,nagao,Second
7,stair1_75,1,2,ours,nagao,Second
7,stair1_75,1,3,real,seo,First
7,stair1_75,1,4,ours,seo,Second
7,stair1_75,1,5,seo,real,Second
7,stair1_75,1,6,real,nagao,First
7,stair1_75,1,7,nagao,seo,First
7,stair1_75,1,8,nagao,ours,Second
7,stair1_75,1,9,real,ours,Second
7,stair1_75,1,10,ours,real,First
7,stair1_75,1,11,seo,ours,Second
7,stair1_75,1,12,seo,real,Second
7,stair1_75,1,13,seo,nagao,Second
7,stair1_75,1,14,real,seo,Second
7,stair1_75,1,15,seo,ours,Second
7,stair1_75,1,16,ours,nagao,Second
7,stair1_75,1,17,ours,seo,Second
7,stair1_75,1,18,real,nagao,Second
7,stair1_75,1,19,nagao,ours,First
7,stair1_75,1,20,nagao,seo,Second
7,stair1_75,1,21,nagao,real,First
7,stair1_75,1,22,ours,real,Second
7,stair1_75,1,23,real,ours,Second
