participant number,current block,block number,case number,first,second,chose
5,stair2_75,2,0,nagao,seo,First
5,stair2_75,2,1,ours,seo,First
5,stair2_75,2,2,real,ours,First
5,stair2_75,2,3,ours,real,Second
5,stair2_75,2,4,ours,nagao,First
5,stair2_75,2,5,real,seo,First
5,stair2_75,2,6,nagao,real,Second
5,stair2_75,2,7,real,nagao,First
5,stair2_75,2,8,seo,nagao,First
5,stair2_75,2,9,seo,ours,Second
5,stair2_75,2,10,nagao,ours,Second
5,stair2_75,2,11,seo,real,Second
5,stair2_75,2,12,real,seo,First
5,stair2_75,2,13,nagao,ours,Second
5,stair2_75,2,14,real,nagao,First
5,stair2_75,2,15,nagao,seo,Second
5,stair2_75,2,16,ours,nagao,First
5,stair2_75,2,17,nagao,real,Second
5,stair2_75,2,18,ours,real,First
5,stair2_75,2,19,seo,ours,Second
5,stair2_75,2,20,ours,seo,First
5,stair2_75,2,21,seo,real,Second
5,stair2_75,2,22,seo,nagao,First
5,stair2_75,2,23,real,ours,First
