participant number,current block,block number,case number,first,second,chose
2,stair2_75,1,0,nagao,seo,Second
2,stair2_75,1,1,ours,seo,First
2,stair2_75,1,2,ours,real,Second
2,stair2_75,1,3,real,ours,First
2,stair2_75,1,4,seo,real,Second
2,stair2_75,1,5,nagao,ours,Second
2,stair2_75,1,6,seo,ours,Second
2,stair2_75,1,7,seo,nagao,Second
2,stair2_75,1,8,ours,nagao,First
2,stair2_75,1,9,real,nagao,First
2,stair2_75,1,10,real,seo,First
2,stair2_75,1,11,nagao,real,Second
2,stair2_75,1,12,seo,real,Second
2,stair2_75,1,13,real,seo,First
2,stair2_75,1,14,real,ours,First
2,stair2_75,1,15,nagao,real,Second
2,stair2_75,1,16,nagao,seo,Second
2,stair2_75,1,17,real,nagao,First
2,stair2_75,1,18,seo,ours,Second
2,stair2_75,1,19,ours,seo,First
2,stair2_75,1,20,ours,nagao,First
2,stair2_75,1,21,ours,real,Second
2,stair2_75,1,22,nagao,ours,Second
2,stair2_75,1,23,seo,nagao,First
