participant number,current block,block number,case number,first,second,chose
8,stair1_75,2,0,seo,real,Second
8,stair1_75,2,1,real,seo,First
8,stair1_75,2,2,real,ours,Second
8,stair1_75,2,3,nagao,real,Second
8,stair1_75,2,4,ours,real,Second
8,stair1_75,2,5,nagao,seo,First
8,stair1_75,2,6,seo,ours,Second
8,stair1_75,2,7,real,nagao,First
8,stair1_75,2,8,seo,nagao,First
8,stair1_75,2,9,ours,nagao,First
8,stair1_75,2,10,ours,seo,Second
8,stair1_75,2,11,nagao,ours,Second
8,stair1_75,2,12,nagao,ours,Second
8,stair1_75,2,13,nagao,real,First
8,stair1_75,2,14,ours,nagao,First
8,stair1_75,2,15,real,seo,First
8,stair1_75,2,16,seo,real,Second
8,stair1_75,2,17,ours,seo,Second
8,stair1_75,2,18,seo,ours,Second
8,stair1_75,2,19,real,ours,First
8,stair1_75,2,20,ours,real,Second
8,stair1_75,2,21,real,nagao,First
8,stair1_75,2,22,seo,nagao,First
8,stair1_75,2,23,nagao,seo,Second
