participant number,current block,block number,case number,first,second,chose
5,stair2_100,1,0,nagao,real,Second
5,stair2_100,1,1,ours,seo,First
5,stair2_100,1,2,nagao,seo,Second
5,stair2_100,1,3,nagao,ours,Second
5,stair2_100,1,4,real,ours,Second
5,stair2_100,1,5,seo,nagao,First
5,stair2_100,1,6,ours,nagao,First
5,stair2_100,1,7,real,seo,First
5,stair2_100,1,8,seo,ours,Second
5,stair2_100,1,9,seo,real,Second
5,stair2_100,1,10,ours,real,First
5,stair2_100,1,11,real,nagao,First
5,stair2_100,1,12,ours,real,Second
5,stair2_100,1,13,real,seo,First
5,stair2_100,1,14,ours,seo,First
5,stair2_100,1,15,real,ours,First
5,stair2_100,1,16,real,nagao,First
5,stair2_100,1,17,seo,nagao,First
5,stair2_100,1,18,nagao,seo,Second
5,stair2_100,1,19,seo,real,Second
5,stair2_100,1,20,nagao,ours,Second
5,stair2_100,1,21,nagao,real,Second
5,stair2_100,1,22,ours,nagao,First
5,stair2_100,1,23,seo,ours,Second
