participant number,current block,block number,case number,first,second,chose
2,stair1_75,0,0,real,nagao,First
2,stair1_75,0,1,seo,nagao,First
2,stair1_75,0,2,seo,ours,First
2,stair1_75,0,3,ours,nagao,Second
2,stair1_75,0,4,nagao,seo,First
2,stair1_75,0,5,nagao,real,First
2,stair1_75,0,6,real,ours,Second
2,stair1_75,0,7,seo,real,First
2,stair1_75,0,8,real,seo,Second
2,stair1_75,0,9,ours,seo,First
2,stair1_75,0,10,nagao,ours,First
2,stair1_75,0,11,ours,real,First
2,stair1_75,0,12,nagao,real,First
2,stair1_75,0,13,nagao,ours,Second
2,stair1_75,0,14,ours,nagao,Second
2,stair1_75,0,15,nagao,seo,First
2,stair1_75,0,16,real,seo,First
2,stair1_75,0,17,ours,real,Second
2,stair1_75,0,18,ours,seo,First
2,stair1_75,0,19,seo,nagao,First
2,stair1_75,0,20,real,nagao,First
2,stair1_75,0,21,seo,real,Second
2,stair1_75,0,22,real,ours,Second
2,stair1_75,0,23,seo,ours,First
