participant number,current block,block number,case number,first,second,chose
4,stair1_75,0,0,nagao,seo,Second
4,stair1_75,0,1,ours,nagao,First
4,stair1_75,0,2,seo,ours,First
4,stair1_75,0,3,real,ours,First
4,stair1_75,0,4,ours,seo,First
4,stair1_75,0,5,nagao,real,Second
4,stair1_75,0,6,ours,real,First
4,stair1_75,0,7,real,nagao,First
4,stair1_75,0,8,seo,real,First
4,stair1_75,0,9,nagao,ours,First
4,stair1_75,0,10,real,seo,Second
4,stair1_75,0,11,seo,nagao,First
4,stair1_75,0,12,seo,nagao,First
4,stair1_75,0,13,ours,seo,Second
4,stair1_75,0,14,seo,ours,First
4,stair1_75,0,15,nagao,seo,Second
4,stair1_75,0,16,real,seo,Second
4,stair1_75,0,17,nagao,real,Second
4,stair1_75,0,18,seo,real,Second
4,stair1_75,0,19,real,ours,First
4,stair1_75,0,20,nagao,ours,First
4,stair1_75,0,21,ours,real,Second
4,stair1_75,0,22,ours,nagao,First
4,stair1_75,0,23,real,nagao,First
