participant number,current block,block number,case number,first,second,chose
7,stair1_100,0,0,real,seo,First
7,stair1_100,0,1,seo,ours,Second
7,stair1_100,0,2,seo,real,Second
7,stair1_100,0,3,real,nagao,First
7,stair1_100,0,4,nagao,seo,First
7,stair1_100,0,5,ours,real,Second
7,stair1_100,0,6,real,ours,First
7,stair1_100,0,7,ours,seo,First
7,stair1_100,0,8,ours,nagao,Second
7,stair1_100,0,9,nagao,real,Second
7,stair1_100,0,10,nagao,ours,Second
7,stair1_100,0,11,seo,nagao,Second
7,stair1_100,0,12,seo,nagao,Second
7,stair1_100,0,13,nagao,seo,First
7,stair1_100,0,14,real,seo,First
7,stair1_100,0,15,ours,seo,First
7,stair1_100,0,16,nagao,real,Second
7,stair1_100,0,17,ours,nagao,Second
7,stair1_100,0,18,real,ours,Second
7,stair1_100,0,19,seo,ours,Second
7,stair1_100,0,20,nagao,ours,Second
7,stair1_100,0,21,real,nagao,First
7,stair1_100,0,22,seo,real,Second
7,stair1_100,0,23,ours,real,Second
