participant number,current block,block number,case number,first,second,chose
8,stair2_75,1,0,seo,ours,Second
8,stair2_75,1,1,ours,real,First
8,stair2_75,1,2,nagao,seo,Second
8,stair2_75,1,3,ours,seo,First
8,stair2_75,1,4,seo,nagao,First
8,stair2_75,1,5,real,nagao,First
8,stair2_75,1,6,real,seo,First
8,stair2_75,1,7,seo,real,Second
8,stair2_75,1,8,nagao,ours,Second
8,stair2_75,1,9,ours,nagao,First
8,stair2_75,1,10,real,ours,Second
8,stair2_75,1,11,nagao,real,Second
8,stair2_75,1,12,ours,seo,First
8,stair2_75,1,13,ours,nagao,First
8,stair2_75,1,14,real,seo,First
8,stair2_75,1,15,real,ours,Second
8,stair2_75,1,16,nagao,real,Second
8,stair2_75,1,17,nagao,seo,Second
8,stair2_75,1,18,real,nagao,First
8,stair2_75,1,19,seo,nagao,First
8,stair2_75,1,20,seo,ours,Second
8,stair2_75,1,21,nagao,ours,Second
8,stair2_75,1,22,seo,real,Second
8,stair2_75,1,23,ours,real,Second
