participant number,current block,block number,case number,first,second,chose
6,stair2_100,3,0,seo,nagao,First
6,stair2_100,3,1,real,seo,First
6,stair2_100,3,2,nagao,ours,Second
6,stair2_100,3,3,ours,seo,First
6,stair2_100,3,4,seo,real,Second
6,stair2_100,3,5,nagao,real,Second
6,stair2_100,3,6,seo,ours,Second
6,stair2_100,3,7,real,ours,Second
6,stair2_100,3,8,real,nagao,First
6,stair2_100,3,9,ours,real,Second
6,stair2_100,3,10,ours,nagao,First
6,stair2_100,3,11,nagao,seo,Second
6,stair2_100,3,12,ours,real,Second
6,stair2_100,3,13,seo,real,Second
6,stair2_100,3,14,ours,seo,First
6,stair2_100,3,15,seo,ours,Second
6,stair2_100,3,16,real,seo,First
6,stair2_100,3,17,ours,nagao,First
6,stair2_100,3,18,nagao,seo,Second
6,stair2_100,3,19,nagao,ours,Second
6,stair2_100,3,20,seo,nagao,First
6,stair2_100,3,21,real,nagao,First
6,stair2_100,3,22,real,ours,First
6,stair2_100,3,23,nagao,real,Second
